SM.ratio	short	BM online	LWL description	BMSat description
0.87	496	True	"An ugly old man wearing night-cap, dressing-gown, and slippers stands at an open window gazing up through a spy-glass at a comet shaped like a large shuttle-cock. Keys hang from his waist. Behind him *BRACKETED* sits a pretty young woman, turning her head to look at the comet, but giving her right hand to a young man who kneels beside her, while she presses her foot on his. She wears a long fur boa over her evening dress." - -British Museum online catalogue, description of an earlier state.	An ugly old man wearing night-cap, dressing-gown, and slippers stands at an open window gazing up through a spy-glass at a comet shaped like a large shuttle-cock. Keys hang from his waist. Behind him *BRACKETED* sits a pretty young woman, turning her head to look at the comet, but giving her right hand to a young man who kneels beside her, while she presses her foot on his. She wears a long fur boa over her evening dress. Plate numbered 91. 20 September 1811. Hand-coloured etching.
0.86	70	False	A Puritan harangues a cat hung from a tree while urchins stand around.	No.2: a Puritan haranguing a cat hung from a tree with urchins standing around.
0.67	370	True	A crier, his mouth wide open and with an angry expression, shakes his bell in the faces of three gaping and alarmed yokels *BRACKETED* . He wears a long old-fashioned coat, broad cocked hat and wig, and holds a cane. A young man *BRACKETED* with a pitchfork *BRACKETED* loiters complacently. A path leads to a farmhouse *BRACKETED* ." - -British Museum online catalogue.	The crier, his mouth wide open, with an angry expression, shakes his bell in the faces of three gaping and alarmed yokels *BRACKETED* . He wears a long old-fashioned coat, broad cocked hat and wig, and holds a cane. A young man with a pitchfork *BRACKETED* loiters complacently. A path leads to a farmhouse *BRACKETED* . Beneath the design is engraved: *TRANSCRIBED* L. and W., No. 94.
0.51	159	False	Portrait of Charles Stanhope *BRACKETED* in profile to the right, leaning forward and gesturing with his right arm. He holds his hat and cane in his left hand.	Bust portrait, caricature, of a man in profile to the right. His nose projects sharply, almost at a right angle with his forehead. He is deep-chested, and wears a shirt-frill.
0.5	159	False	Portrait of Charles Stanhope *BRACKETED* in profile to the right, leaning forward and gesturing with his right arm. He holds his hat and cane in his left hand.	Bust portrait of a man in profile to the left with a whip under his left arm. He is plainly dressed; his hair is brushed forward over his forehead and arranged in small curls on the neck.
0.54	159	False	Portrait of Charles Stanhope *BRACKETED* in profile to the right, leaning forward and gesturing with his right arm. He holds his hat and cane in his left hand.	Caricaturical portrait of a lawyer standing in profile to left, gesturing with his right hand as he speaks, with a sack draped over his left arm.
0.5	159	False	Portrait of Charles Stanhope *BRACKETED* in profile to the right, leaning forward and gesturing with his right arm. He holds his hat and cane in his left hand.	Design in an oval. A man *BRACKETED* in profile to the left, a bludgeon under his arm. He looks slyly out of the corners of his eyes.
0.53	159	False	Portrait of Charles Stanhope *BRACKETED* in profile to the right, leaning forward and gesturing with his right arm. He holds his hat and cane in his left hand.	No.24: Portrait of a man standing in profile to the right, holding in his right hand a conical vessel. He wears a tie-wig, three-cornered hat and frilled shirt.
0.5	159	False	Portrait of Charles Stanhope *BRACKETED* in profile to the right, leaning forward and gesturing with his right arm. He holds his hat and cane in his left hand.	Portrait of a man in hat, overcoat, trousers, and muffler standing in profile to the right, clasping gloved hands. He wears spectacles.
0.95	430	True	"Pitt, very drunk, leans against the wall of a room, his right arm rests on a map inscribed *TRANSCRIBED* ; he points to the former name, saying, *TRANSCRIBED* His chair *BRACKETED* has been overturned, under his feet are papers inscribed *TRANSCRIBED* ; in his left hand is the *TRANSCRIBED* . On a table *BRACKETED* are wine-glasses and a decanter of Claret, empty bottles lie on the ground." - -British Museum online catalogue.	Pitt, very drunk, leans against the wall of a room, his right arm rests on a map inscribed *TRANSCRIBED* ; he points to the former name, saying, *TRANSCRIBED* His chair *BRACKETED* has been overturned, under his feet are papers inscribed *TRANSCRIBED* ; in his left hand is the *TRANSCRIBED* . On a table *BRACKETED* are wine-glasses and a decanter of Claret, empty bottles lie on the ground.
0.96	729	True	"A scene on Clerkenwell Green, outside the *TRANSCRIBED* *BRACKETED* , whose door is on the extreme left. Two termagants face each other in the foreground; one spits at her enemy, arms akimbo, the other tries to use her fists but is held back by an elderly man who grasps her round the waist and kicks her, losing his tie-wig. The former woman is fashionably, the latter roughly, dressed. Both have coarse faces with a certain comeliness. In the background constables with staves are shepherding women through the door of the Sessions House, where the Middlesex magistrates sat. Other constables and women are suggested behind the *TRANSCRIBED* . On the right are old-fashioned gabled houses." - -British Museum online catalogue.	A scene on Clerkenwell Green, outside the *TRANSCRIBED* *BRACKETED* , whose door is on the extreme left. Two termagants face each other in the foreground; one spits at her enemy, arms akimbo, the other tries to use her fists but is held back by an elderly man who grasps her round the waist and kicks her, losing his tie-wig. The former woman is fashionably, the latter roughly, dressed. Both have coarse faces with a certain comeliness. In the background constables with staves are shepherding women through the door of the Sessions House, where the Middlesex magistrates sat. Other constables and women are suggested behind the *TRANSCRIBED* . On the right are old-fashioned gabled houses. Plate numbered 44.
0.91	233	True	"An oval bust portrait *BRACKETED* of the Duke of Clarence, looking to the right, staring and smiling. His hair is shaggy and uncurled. He wears a large round hat, and naval uniform with his star." - -British Museum online catalogue.	An oval bust portrait *BRACKETED* of the Duke of Clarence, looking to the right, staring and smiling. His hair is shaggy and uncurled. He wears a large round hat, and naval uniform with his star.
0.98	876	True	"Britannia, buxom and beneficent, sits on one side of the *TRANSCRIBED* ; on a smaller piece of ground stands Pat, his hands deep in his coat pockets, looking sideways towards Britannia. She sits with her shield and spear beside a pile of bales of goods and a cornucopia from which pour coins and jewels; she holds out a scroll: *TRANSCRIBED* . She looks appealingly towards Pat, her right hand on her breast, one foot trampling on a book inscribed *TRANSCRIBED* and a venomous snake. Tierney, Fox, and M. A. Taylor look out from behind bushes, gazing fixedly at Pat: Fox says, his hand before his mouth: *TRANSCRIBED* Tierney says *TRANSCRIBED* , Taylor echoes *TRANSCRIBED* Pat is a sturdy fellow with bare legs; his clothes are ragged, his broken spear lies beside him. Behind *BRACKETED* is a building in flames. He says: *TRANSCRIBED* " --British Museum online catalogue.	Britannia, buxom and beneficent, sits on one side of the *TRANSCRIBED* ; on a smaller piece of ground stands Pat, his hands deep in his coat pockets, looking sideways towards Britannia. She sits with her shield and spear beside a pile of bales of goods and a cornucopia from which pour coins and jewels; she holds out a scroll: *TRANSCRIBED* . She looks appealingly towards Pat, her right hand on her breast, one foot trampling on a book inscribed *TRANSCRIBED* and a venomous snake. Tierney, Fox, and M. A. Taylor look out from behind bushes, gazing fixedly at Pat: Fox says, his hand before his mouth: *TRANSCRIBED* Tierney says *TRANSCRIBED* , Taylor echoes *TRANSCRIBED* Pat is a sturdy fellow with bare legs; his clothes are ragged, his broken spear lies beside him. Behind *BRACKETED* is a building in flames. He says: *TRANSCRIBED* .
0.89	707	True	"Johnson and Boswell, attended by Ritter, depart from Boswell's house on foot; Mrs. Boswell stands in the doorway weeping and holding up a handkerchief. Johnson, his stick in his right hand, pulls Boswell by the right arm; Boswell, turning to look at his wife, weeps unrestrainedly. He holds his handkerchief to his eyes; *TRANSCRIBED* *BRACKETED* and the *TRANSCRIBED* are under his right arm. He wears the feathered Scots cap, the pen, and barrister's wig as in BMSat 7031. His ink-bottle hangs from a buttonhole. Between Boswell and his wife stands the moustachioed Ritter wearing a wide cocked hat and holding a long stick in both hands; a large pack is on his back." - -British Museum online catalogue.	Johnson and Boswell, attended by Ritter, depart from Boswell's house on foot; Mrs. Boswell stands in the doorway weeping and holding up a handkerchief. Johnson, his stick in his right hand, pulls Boswell by the right arm; Boswell, turning to look at his wife, weeps unrestrainedly. He holds his handkerchief to his eyes; *TRANSCRIBED* *BRACKETED* and the *TRANSCRIBED* are under his right arm. He wears the feathered Scots cap, the pen, and barrister's wig as in BMSat 7031. His ink-bottle hangs from a buttonhole. Between Boswell and his wife stands the moustachioed Ritter wearing a wide cocked hat and holding a long stick in both hands; a large pack is on his back. Beneath the title is engraved a citation beginning: *TRANSCRIBED* , and ending, *TRANSCRIBED* Vide Journal P. 47 *BRACKETED* *TRANSCRIBED*
0.93	295	True	"A birch-rod placed diagonally, the handle *BRACKETED* in the lower left corner of the design. From among the twigs ten heads *BRACKETED* project, also *BRACKETED* the head of a boar and posteriors emitting smoke. *TRANSCRIBED* Text, *TRANSCRIBED* , vii. II." - -British Museum online catalogue.	A birch-rod placed diagonally, the handle *BRACKETED* in the lower left corner of the design. From among the twigs ten heads *BRACKETED* project, also *BRACKETED* the head of a boar and posteriors emitting smoke. *TRANSCRIBED* Text, *TRANSCRIBED* , vii. II.
